1 2 3
1 3 7
1 4 10
1 5 2
1 6 8
1 7 6
1 8 4
1 9 5
1 10 9
1 11 12
1 12 11
1 13 14
1 14 15
1 15 7
1 16 6
1 17 13
1 18 4
1 19 10
1 20 8
2 3 5
2 4 8
2 5 3
2 6 6
2 7 7
2 8 10
2 9 4
2 10 11
2 11 9
2 12 12
2 13 5
2 14 8
2 15 13
2 16 6
2 17 7
2 18 14
2 19 3
2 20 9
3 4 11
3 5 7
3 6 9
3 7 5
3 8 8
3 9 12
3 10 6
3 11 14
3 12 10
3 13 13
3 14 7
3 15 11
3 16 5
3 17 8
3 18 14
3 19 12
3 20 6
4 5 8
4 6 10
4 7 12
4 8 7
4 9 9
4 10 5
4 11 11
4 12 8
4 13 6
4 14 15
4 15 13
4 16 9
4 17 7
4 18 11
4 19 10
4 20 12
5 6 4
5 7 9
5 8 6
5 9 11
5 10 7
5 11 8
5 12 13
5 13 12
5 14 5
5 15 10
5 16 8
5 17 6
5 18 7
5 19 9
5 20 12
6 7 12
6 8 5
6 9 14
6 10 8
6 11 10
6 12 9
6 13 11
6 14 7
6 15 12
6 16 6
6 17 13
6 18 8
6 19 10
6 20 14
7 8 11
7 9 10
7 10 7
7 11 13
7 12 6
7 13 8
7 14 9
7 15 12
7 16 4
7 17 15
7 18 7
7 19 8
7 20 11
8 9 5
8 10 12
8 11 9
8 12 11
8 13 7
8 14 10
8 15 6
8 16 8
8 17 13
8 18 9
8 19 10
8 20 7
9 10 11
9 11 7
9 12 6
9 13 13
9 14 5
9 15 12
9 16 10
9 17 8
9 18 12
9 19 14
9 20 9
10 11 8
10 12 9
10 13 10
10 14 5
10 15 6
10 16 12
10 17 11
10 18 7
10 19 13
10 20 9
11 12 7
11 13 14
11 14 8
11 15 10
11 16 12
11 17 9
11 18 10
11 19 7
11 20 8
12 13 6
12 14 10
12 15 12
12 16 8
12 17 11
12 18 9
12 19 7
12 20 14
13 14 8
13 15 9
13 16 7
13 17 12
13 18 10
13 19 11
13 20 6
14 15 11
14 16 10
14 17 13
14 18 7
14 19 8
14 20 12
15 16 8
15 17 6
15 18 10
15 19 9
15 20 11
16 17 12
16 18 5
16 19 7
16 20 10
17 18 11
17 19 8
17 20 9
18 19 10
18 20 7
19 20 12
